Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,8064.96
Ethereum,https://coinmarketcap.com/currencies/ethereum/,203.45
XRP,https://coinmarketcap.com/currencies/xrp/,0.213750
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,273.40
Tether,https://coinmarketcap.com/currencies/tether/,1.00
Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,199.62
Litecoin,https://coinmarketcap.com/currencies/litecoin/,50.90
EOS,https://coinmarketcap.com/currencies/eos/,3.12
Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,17.18
Tezos,https://coinmarketcap.com/currencies/tezos/,2.68
Chainlink,https://coinmarketcap.com/currencies/chainlink/,4.07
Cardano,https://coinmarketcap.com/currencies/cardano/,0.042268
Stellar,https://coinmarketcap.com/currencies/stellar/,0.052679
TRON,https://coinmarketcap.com/currencies/tron/,0.015212
Monero,https://coinmarketcap.com/currencies/monero/,56.15
UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,0.979849
Huobi Token,https://coinmarketcap.com/currencies/huobi-token/,4.09
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,6.84
Crypto.com Coin,https://coinmarketcap.com/currencies/crypto-com-coin/,0.050311
Neo,https://coinmarketcap.com/currencies/neo/,10.06
Dash,https://coinmarketcap.com/currencies/dash/,74.61
HedgeTrade,https://coinmarketcap.com/currencies/hedgetrade/,2.20
Cosmos,https://coinmarketcap.com/currencies/cosmos/,3.13
IOTA,https://coinmarketcap.com/currencies/iota/,0.196020
Maker,https://coinmarketcap.com/currencies/maker/,524.91
USD Coin,https://coinmarketcap.com/currencies/usd-coin/,1.00
NEM,https://coinmarketcap.com/currencies/nem/,0.046258
Zcash,https://coinmarketcap.com/currencies/zcash/,41.90
Ontology,https://coinmarketcap.com/currencies/ontology/,0.596787
Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,0.204717
OKB,https://coinmarketcap.com/currencies/okb/,4.59
Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,0.002219
VeChain,https://coinmarketcap.com/currencies/vechain/,0.004846
FTX Token,https://coinmarketcap.com/currencies/ftx-token/,2.43
Paxos Standard,https://coinmarketcap.com/currencies/paxos-standard/,1.00
Algorand,https://coinmarketcap.com/currencies/algorand/,0.294171
Qtum,https://coinmarketcap.com/currencies/qtum/,1.95
Decred,https://coinmarketcap.com/currencies/decred/,16.69
ICON,https://coinmarketcap.com/currencies/icon/,0.325280
Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,9.69
Hedera Hashgraph,https://coinmarketcap.com/currencies/hedera-hashgraph/,0.046322
Lisk,https://coinmarketcap.com/currencies/lisk/,1.23
0x,https://coinmarketcap.com/currencies/0x/,0.236971
Kyber Network,https://coinmarketcap.com/currencies/kyber-network/,0.778003
ZB Token,https://coinmarketcap.com/currencies/zb-token/,0.298865
Ravencoin,https://coinmarketcap.com/currencies/ravencoin/,0.023870
Augur,https://coinmarketcap.com/currencies/augur/,11.94
Synthetix Network Token,https://coinmarketcap.com/currencies/synthetix-network-token/,0.765633
TrueUSD,https://coinmarketcap.com/currencies/trueusd/,1.00
Waves,https://coinmarketcap.com/currencies/waves/,1.18
Multi-collateral DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,0.999936
Binance USD,https://coinmarketcap.com/currencies/binance-usd/,1.00
KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,1.37
OmiseGO,https://coinmarketcap.com/currencies/omisego/,0.798319
